2013-10-29 15:54:31 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:54:31 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:54:37 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:54:37 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:54:37 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:54:43 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:54:43 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:54:43 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:54:49 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:54:49 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:54:49 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:54:55 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:54:55 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:54:55 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:55:01 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:55:01 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:55:01 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:55:07 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:55:07 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:55:07 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:55:13 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:55:13 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:55:13 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:55:14  INFO | instances: 0000 (0000 extant + 0000 pending + 0000 terminated)
2013-10-29 15:55:14  INFO |     nodes: 0001 (0000 busy + 0000 idle + 0001 unresponsive)
2013-10-29 15:55:19 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:55:19 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:55:19 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:55:25 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:55:25 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:55:25 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:55:31 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:55:31 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:55:31 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:55:37 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:55:37 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:55:37 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:55:43 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:55:43 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
2013-10-29 15:55:43 ERROR | error message from ncDescribeResource: Error occurred in transport
2013-10-29 15:55:49 ERROR | operation on 10.1.1.4 could not be invoked (check NC host, port, and credentials): Error occurred in transport
2013-10-29 15:55:49 ERROR | bad return from ncDescribeResource(10.1.1.4) (1)
